age,gender,height,weight,span,stature,ear.breadth,ear.length,ear.protrusion,foot.breadth,foot.length,hand.breadth,hand.length,hand.palm,head.breadth,head.length,head.height,head.circumference
42,F,67,158,1739,1671,32,57,17,92,238,75,181,112,143,197,232,553
27,M,73,160,1879,1835,34,60,20,102,270,84,193,113,148,200,249,566
25,F,64,170,1626,1584,34,60,19,91,255,76,187,110,146,180,238,547
42,M,69,193,1781,1717,38,67,27,108,270,94,192,118,152,202,240,580
33,M,70,228,1775,1748,43,69,28,105,268,91,184,112,155,197,253,564
34,M,68,201,1800,1700,34,58,21,96,267,85,190,118,160,196,237,572
27,F,64,130,1652,1617,36,60,24,95,248,79,177,106,145,191,241,552
31,M,77,210,2047,1942,39,61,19,110,290,95,220,122,160,200,252,575
27,M,73,230,1908,1854,34,74,23,107,284,92,209,124,153,212,274,599
30,F,63,135,1591,1585,33,58,20,91,246,76,175,108,142,183,232,541
47,M,72,165,1869,1771,31,65,23,107,277,92,198,120,157,183,258,552
39,M,72,228,1828,1785,37,73,26,101,277,92,206,125,155,197,252,574
49,M,70,210,1772,1779,34,72,25,105,279,90,193,119,162,200,269,588
20,M,69,170,1876,1733,35,64,22,98,268,90,190,120,147,199,241,584
27,M,74,205,1859,1842,38,66,21,97,270,88,194,115,144,194,240,560
30,M,68,200,1713,1709,36,65,21,98,273,87,187,117,154,199,270,577
24,M,69,185,1789,1752,33,65,22,102,266,88,184,111,147,200,245,575
20,M,72,200,1886,1795,32,55,22,104,285,88,197,117,154,202,255,589
26,M,71,148,1809,1767,37,68,28,92,251,85,190,107,151,188,259,550
39,M,70,200,1845,1774,34,60,29,99,278,84,197,120,156,206,261,582
38,M,70,190,1837,1762,39,70,25,96,264,85,185,110,147,186,251,538
36,M,68,220,1798,1681,38,59,23,100,263,88,192,124,158,189,248,558
19,F,61,115,1548,1530,30,55,19,89,233,71,163,98,145,190,226,546
23,F,56,107,1323,1446,32,58,19,87,223,74,155,94,139,181,233,544
22,F,62,130,1610,1559,29,60,18,95,243,78,177,104,146,184,235,552
22,M,70,156,1752,1728,37,65,28,99,262,91,190,117,153,199,246,563
28,M,71,225,1831,1789,33,67,24,102,284,94,186,114,161,200,251,577
31,M,70,170,1802,1736,31,67,19,97,272,84,182,117,141,199,264,553
24,M,66,168,1716,1668,36,65,23,95,275,85,185,108,153,198,256,565
23,M,70,165,1740,1764,32,59,23,98,257,83,184,120,166,199,261,598
28,M,66,180,1758,1679,38,62,22,103,267,91,185,113,161,200,254,581
35,M,66,167,1712,1668,36,68,26,93,263,81,174,106,141,199,254,556
38,F,63,212,1613,1599,35,62,22,97,242,81,182,111,145,178,254,557
22,M,74,172,1871,1843,34,62,23,99,275,84,193,115,163,207,271,603
23,M,69,210,1819,1725,33,60,25,108,280,87,195,114,157,194,244,572
23,M,67,225,1830,1687,33,66,22,108,271,87,189,117,168,206,266,617
23,F,65,145,1633,1641,38,59,23,95,243,76,182,106,155,187,249,557
33,M,71,210,1808,1745,36,67,25,105,278,87,191,117,153,205,248,576
24,M,73,200,1987,1818,38,67,20,114,285,94,206,125,153,208,250,588
38,F,70,180,1790,1776,32,66,18,104,263,89,194,119,150,192,247,572
46,M,72,200,1843,1808,40,67,20,105,272,93,198,119,153,214,253,600
30,M,69,180,1752,1736,37,63,24,91,258,84,180,112,154,193,270,563
43,M,67,190,1769,1690,42,74,22,107,273,89,191,115,157,198,267,574
39,M,74,260,2033,1856,40,67,24,110,298,100,221,133,155,211,265,600
23,M,72,218,1766,1810,41,63,25,118,292,95,206,129,146,196,249,558
21,F,64,150,1752,1607,32,60,22,98,252,84,192,115,144,196,257,585
24,F,70,160,1783,1754,31,58,21,103,257,83,190,112,144,192,255,557
19,M,68,140,1745,1693,30,54,22,92,256,83,183,107,153,188,228,548
37,M,66,185,1720,1659,37,65,22,100,260,87,194,110,152,191,240,566
21,M,72,200,1889,1777,34,65,29,105,286,95,200,116,155,198,250,577
25,M,74,204,1865,1868,37,65,24,106,279,83,188,119,148,209,265,581
18,M,72,185,1873,1794,39,74,29,107,284,95,211,121,153,204,268,582
46,M,69,198,1851,1727,37,56,33,105,276,92,189,112,154,206,241,587
21,M,71,177,1773,1764,36,62,23,97,265,90,192,111,161,195,248,569
23,M,77,180,1906,1893,42,64,21,106,285,88,196,122,148,205,247,573
30,M,69,180,1810,1712,38,66,22,101,260,86,193,108,155,188,258,557
27,F,56,100,1438,1409,34,60,21,77,198,68,145,88,147,183,218,544
24,F,66,139,1674,1657,32,55,16,93,251,77,178,109,143,200,231,570
24,M,64,150,1687,1598,33,65,21,100,244,84,171,104,156,206,248,588
32,M,78,240,1971,1953,35,60,19,103,309,96,217,127,161,199,268,576
24,F,67,156,1769,1670,26,58,20,90,253,75,181,109,152,188,243,557
19,F,66,147,1718,1672,35,67,22,97,248,81,184,108,150,193,240,562
38,M,65,172,1708,1658,35,61,23,96,256,84,185,114,152,198,258,568
24,F,65,126,1793,1677,35,57,18,86,250,78,192,115,145,198,243,584
43,M,71,230,1878,1794,33,69,26,109,275,93,203,120,150,197,242,575
40,F,62,127,1634,1587,35,60,18,93,233,78,180,108,152,188,249,583
29,M,69,182,1868,1740,35,60,20,105,271,89,200,118,157,203,276,578
24,M,67,165,1737,1660,28,57,20,93,254,78,177,113,150,191,244,559
53,F,65,182,1621,1630,32,65,22,91,235,80,176,108,146,193,232,555
22,M,71,180,1781,1753,34,56,18,102,267,90,197,113,158,195,242,578
23,M,68,160,1754,1715,36,62,22,98,261,87,194,125,158,191,250,573
44,M,68,210,1782,1716,38,68,24,107,281,87,184,111,161,200,265,587
29,F,66,128,1765,1670,34,55,24,93,258,79,187,114,154,186,229,560
20,M,72,185,1820,1777,38,58,19,104,269,90,192,109,156,216,257,615
20,M,74,165,1855,1786,34,64,24,99,262,85,186,115,158,205,261,592
42,M,73,215,1904,1852,37,64,22,110,284,96,205,117,150,196,253,558
20,M,74,180,1968,1840,34,62,23,102,276,90,203,128,150,198,262,560
23,M,67,190,1666,1681,31,59,19,99,254,84,172,108,152,204,253,584
27,M,66,185,1709,1676,35,63,22,96,255,90,177,114,152,195,251,560
23,F,65,130,1682,1632,31,56,19,99,255,81,188,113,145,197,244,554
22,M,76,321,1931,1910,46,81,25,120,305,101,215,125,169,215,291,614
42,F,67,170,1815,1700,35,62,18,93,252,83,197,119,150,201,254,608
26,M,69,205,1761,1734,40,68,27,107,266,90,186,115,158,205,266,569
27,M,70,160,1771,1759,34,60,24,97,271,84,188,109,155,205,250,582
33,M,74,190,1858,1845,38,64,20,98,278,91,199,118,156,204,251,598
23,M,68,201,1788,1680,33,68,23,103,273,87,191,120,157,190,249,566
32,M,69,185,1862,1718,33,63,21,106,277,88,198,123,151,194,243,561
33,M,75,220,1908,1865,41,69,21,105,286,94,203,113,149,197,257,563
41,M,70,224,1859,1775,37,71,31,104,278,90,197,128,160,200,250,588
22,F,67,123,1584,1674,39,61,28,94,248,80,182,106,147,174,226,529
39,M,71,220,1829,1790,35,72,23,105,264,87,194,110,152,211,274,588
19,M,73,223,1914,1803,38,70,23,114,303,98,215,127,160,217,268,619
30,F,61,105,1560,1533,34,56,20,89,222,75,175,100,140,180,231,530
26,M,75,207,1902,1827,33,63,25,103,280,88,203,123,152,205,263,582
25,M,66,145,1768,1664,40,65,23,103,273,88,193,112,151,199,262,564
26,M,65,160,1592,1604,36,59,19,102,256,80,164,103,151,202,243,567
22,M,73,226,1842,1831,40,70,20,110,288,93,204,124,164,206,267,597
43,F,68,193,1718,1732,35,57,19,93,254,80,178,100,145,186,258,553
23,M,70,217,1825,1755,34,52,19,99,265,85,190,114,150,201,251,572
49,M,67,185,1734,1678,34,65,26,95,267,80,186,111,160,201,252,582
20,M,68,138,1778,1728,34,62,22,93,264,86,194,111,146,194,244,552
25,F,65,195,1622,1653,35,57,21,101,252,80,178,102,149,185,234,554
31,M,71,241,1772,1772,44,70,26,103,262,94,185,115,157,207,258,585
35,M,71,205,1855,1743,38,55,18,105,268,85,203,122,142,202,243,562
27,M,66,180,1719,1658,34,68,21,99,253,81,186,109,157,200,270,577
43,M,70,178,1843,1735,34,69,25,92,250,88,189,113,163,190,233,570
23,M,67,190,1768,1668,40,62,22,104,266,92,202,123,158,199,239,581
46,M,69,204,1748,1732,44,66,30,105,278,99,194,115,165,199,245,585
21,M,65,155,1767,1651,35,62,27,101,259,87,186,109,153,195,240,564
21,F,69,185,1802,1751,35,58,17,98,259,82,194,113,148,198,245,590
21,F,65,165,1665,1659,36,58,20,95,241,82,183,109,147,188,253,563
25,M,72,203,1908,1820,35,64,23,108,289,95,205,123,158,208,278,597
25,M,70,215,1842,1789,35,65,25,100,282,88,202,124,158,190,256,555
47,M,76,255,1974,1903,35,71,21,104,287,93,203,123,162,204,257,588
27,F,65,140,1596,1613,36,57,27,89,245,76,175,107,152,182,247,539
22,M,70,140,1784,1759,32,55,20,99,281,84,194,117,150,194,258,553
31,M,70,190,1783,1735,32,60,21,98,271,88,197,121,150,200,257,574
24,F,65,129,1642,1655,32,60,22,86,233,69,171,98,146,189,248,553
21,M,66,184,1760,1714,37,67,25,105,263,87,194,112,159,199,256,587
39,F,62,165,1691,1586,35,57,18,93,239,79,176,103,155,187,229,564
20,M,71,203,1900,1795,40,66,26,106,293,92,202,126,159,209,282,594
25,M,70,135,1766,1770,38,62,22,96,267,87,189,117,147,200,255,561
23,M,66,153,1676,1661,38,58,25,97,254,83,191,108,149,186,238,540
28,M,74,205,1892,1863,34,57,22,109,286,83,199,119,159,196,256,573
44,M,70,195,1755,1761,35,70,27,100,263,88,192,122,158,197,253,574
26,F,62,135,1551,1572,30,57,21,88,245,78,178,103,149,192,237,568
20,M,73,170,1769,1823,32,62,21,112,277,92,191,117,145,205,242,569
21,M,77,213,2035,1914,32,56,19,111,305,94,218,132,153,197,257,566
19,M,67,150,1648,1693,37,65,22,93,248,84,177,110,153,207,246,575
23,F,61,125,1495,1520,32,55,17,87,217,78,157,92,138,185,232,533
31,M,68,183,1803,1725,35,60,21,103,266,87,188,107,150,201,253,568
26,M,71,215,1773,1750,33,64,24,104,267,84,187,115,150,197,259,570
38,F,66,154,1672,1695,37,65,20,98,253,83,179,107,156,204,242,611
31,M,73,170,1889,1835,34,68,21,93,263,84,200,120,144,194,244,549
34,M,71,240,1793,1768,34,65,20,96,262,88,184,116,164,194,251,587
31,F,62,155,1499,1555,34,62,24,95,226,76,160,95,145,186,238,550
29,M,66,144,1724,1679,33,55,24,94,257,76,189,120,148,188,241,540
41,M,70,215,1791,1763,36,75,23,104,268,90,188,114,151,203,243,562
47,M,67,238,1796,1712,37,71,24,100,277,89,200,122,157,201,253,570
24,M,69,144,1760,1735,33,68,25,102,273,87,178,111,152,197,256,567
28,M,73,220,1950,1796,36,62,23,103,285,90,208,122,160,207,256,597
43,M,74,265,1941,1866,40,74,18,111,291,97,208,118,155,207,247,583
20,F,66,138,1715,1663,34,58,19,93,253,77,187,111,141,187,237,567
46,M,69,167,1798,1674,34,56,18,100,254,89,195,127,158,194,236,568
26,M,72,235,1823,1807,37,62,19,103,270,95,192,112,150,202,238,577
28,F,64,120,1586,1614,32,58,18,84,233,70,168,100,143,187,228,533
29,F,61,127,1578,1550,33,60,16,86,225,76,170,102,148,190,227,565
24,F,64,141,1678,1627,35,57,18,93,266,80,185,113,154,194,249,587
44,M,71,195,1859,1771,40,71,30,110,275,93,200,117,154,199,245,566
33,M,64,168,1697,1624,37,68,29,100,263,88,190,107,154,191,249,554
22,M,68,197,1786,1709,40,57,23,104,273,90,192,117,155,189,239,550
32,M,67,190,1772,1722,36,57,19,103,276,90,191,125,153,194,256,568
25,F,62,120,1548,1562,36,57,19,89,233,74,174,100,138,187,235,546
35,M,68,242,1811,1712,40,64,25,102,267,87,197,115,148,195,257,568
46,F,63,153,1546,1578,34,60,21,86,227,77,171,103,142,181,228,526
23,M,70,177,1827,1758,40,68,28,99,262,86,196,117,160,195,258,578
20,M,70,165,1787,1759,34,57,24,96,267,85,189,110,161,194,247,575
25,M,69,179,1705,1708,36,63,24,99,259,83,173,106,153,188,250,550
37,M,64,137,1612,1572,35,61,26,95,249,87,172,106,165,193,253,573
42,F,65,145,1648,1638,32,57,23,87,234,77,170,108,141,185,222,544
27,F,63,155,1773,1563,29,55,18,103,267,83,204,120,149,185,241,566
30,M,66,185,1724,1697,38,65,28,105,260,94,182,112,154,193,255,560
40,F,64,162,1678,1637,30,60,18,91,252,79,185,112,145,190,249,546
34,M,69,170,1759,1716,30,58,24,100,256,83,180,117,158,192,246,562
41,M,72,195,1886,1807,32,64,18,104,267,87,198,115,152,199,264,564
24,F,62,110,1566,1570,32,56,20,87,237,72,170,103,148,192,241,565
27,M,71,217,1880,1763,36,65,23,112,280,97,203,123,155,198,245,582
37,F,63,150,1540,1590,34,53,19,92,245,82,175,102,146,176,222,528
31,M,75,200,1984,1896,35,59,18,107,307,86,213,128,151,203,269,576
35,F,64,147,1626,1595,36,61,22,95,236,77,169,100,143,187,236,555
21,M,70,175,1795,1748,33,63,20,101,244,87,187,118,147,197,245,565
26,M,74,193,2007,1825,34,65,21,106,290,92,211,120,151,205,258,580
55,M,70,200,1878,1743,36,79,29,104,277,91,198,122,146,211,265,588
20,M,66,145,1698,1646,32,59,20,99,243,84,183,110,151,194,249,564
45,M,69,175,1859,1745,34,70,23,101,274,91,194,115,156,200,252,561
53,M,71,175,1873,1789,36,76,22,103,279,88,193,120,156,205,241,577
25,M,67,145,1702,1672,36,62,29,100,251,86,177,112,158,201,253,572
35,M,69,181,1746,1740,39,70,25,111,262,90,197,117,152,199,261,570
33,F,67,130,1722,1687,29,57,20,86,247,73,183,111,146,185,250,543
20,M,70,190,1845,1749,30,69,24,104,271,81,194,114,156,213,264,592
22,M,69,165,1800,1726,40,61,18,103,269,82,190,114,146,210,240,573
41,M,71,180,1782,1776,36,71,19,101,273,90,193,113,150,206,258,583
40,M,72,225,1853,1819,40,73,20,109,287,94,203,125,161,200,256,579
56,M,67,140,1740,1701,32,64,25,97,264,81,193,117,146,187,230,549
28,M,72,179,1855,1807,36,60,16,98,273,88,190,116,148,193,249,562
26,M,71,183,1917,1793,39,61,26,98,280,87,196,124,147,193,249,557
22,M,74,235,1840,1844,36,62,25,100,273,87,189,116,152,194,250,570
39,M,66,182,1796,1637,33,53,19,91,252,81,186,122,160,200,255,574
44,M,69,175,1849,1747,37,59,21,100,257,88,188,113,151,211,255,584
25,M,70,210,1810,1728,39,68,25,100,275,91,191,109,160,204,250,595
25,M,69,140,1863,1736,31,61,27,97,271,86,198,117,147,203,249,576
23,F,66,145,1745,1672,35,64,23,94,246,74,174,108,152,186,245,557
26,M,68,180,1809,1711,32,60,20,99,261,91,191,114,147,201,256,558
21,M,77,240,2121,1944,37,63,24,115,323,101,239,137,169,202,275,583
20,F,68,160,1790,1729,31,61,22,99,257,84,192,117,152,197,257,584
30,F,63,154,1674,1613,37,60,19,94,255,79,190,118,146,197,245,565
20,M,72,165,1838,1785,36,62,26,100,266,88,192,105,154,204,253,578
26,F,66,160,1657,1675,34,54,24,86,244,74,176,107,150,187,233,547
29,M,73,185,1822,1828,35,61,23,104,278,90,196,117,155,200,249,579
21,M,71,210,1792,1777,40,58,25,107,282,91,200,116,155,200,249,574
33,F,63,137,1667,1603,32,69,22,98,253,78,182,112,144,192,241,554
19,M,71,185,1794,1735,34,59,18,100,277,86,194,112,154,201,249,572
34,M,60,210,1808,1755,41,70,24,102,267,92,194,116,160,208,258,610
27,M,73,177,1891,1856,34,54,23,110,290,82,198,118,162,190,255,579
26,M,68,155,1708,1716,35,61,22,102,252,87,187,115,142,183,232,537
37,M,69,220,1793,1729,40,69,20,99,270,87,193,119,156,209,252,602
24,F,66,180,1722,1669,29,58,20,95,253,78,181,110,151,196,233,573
27,F,64,143,1663,1612,34,58,20,93,238,80,181,110,148,193,233,560
21,F,68,140,1710,1706,36,60,19,90,253,78,189,107,152,196,240,561
36,F,66,147,1659,1670,33,56,22,89,230,78,161,106,156,179,235,552
