id,EDANid,imageURL,thumbnail
00097,edanmdm:saam_1982.102.3,https://ids.si.edu/ids/deliveryService?id=SAAM-1982.102.3_1,"https://ids.si.edu/ids/iiif/SAAM-1982.102.3_1/full/250,/0/default.jpg"
00098,edanmdm:saam_1982.102.2,https://ids.si.edu/ids/deliveryService?id=SAAM-1982.102.2_1,"https://ids.si.edu/ids/iiif/SAAM-1982.102.2_1/full/250,/0/default.jpg"
00099,edanmdm:saam_1982.102.1,https://ids.si.edu/ids/deliveryService?id=SAAM-1982.102.1_1,"https://ids.si.edu/ids/iiif/SAAM-1982.102.1_1/full/250,/0/default.jpg"
00105,edanmdm:saam_1980.53.18,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.53.18_1,"https://ids.si.edu/ids/iiif/SAAM-1980.53.18_1/full/250,/0/default.jpg"
00164,edanmdm:saam_1962.3.3,https://ids.si.edu/ids/deliveryService?id=SAAM-1962.3.3_2,"https://ids.si.edu/ids/iiif/SAAM-1962.3.3_2/full/250,/0/default.jpg"
00165,edanmdm:saam_1962.3.2,https://ids.si.edu/ids/deliveryService?id=SAAM-1962.3.2_1,"https://ids.si.edu/ids/iiif/SAAM-1962.3.2_1/full/250,/0/default.jpg"
00166,edanmdm:saam_1962.3.1,https://ids.si.edu/ids/deliveryService?id=SAAM-1962.3.1_1,"https://ids.si.edu/ids/iiif/SAAM-1962.3.1_1/full/250,/0/default.jpg"
00539,edanmdm:npg_S_NPG.78.209,https://ids.si.edu/ids/deliveryService?id=NPG-7810390A_1,"https://ids.si.edu/ids/iiif/NPG-7810390A_1/full/250,/0/default.jpg"
01342,edanmdm:npg_S_NPG.2002.184.999,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_999,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_999/full/250,/0/default.jpg"
01343,edanmdm:npg_S_NPG.2002.184.998,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_998,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_998/full/250,/0/default.jpg"
01344,edanmdm:npg_S_NPG.2002.184.997,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_997,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_997/full/250,/0/default.jpg"
01345,edanmdm:npg_S_NPG.2002.184.996,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_996,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_996/full/250,/0/default.jpg"
01346,edanmdm:npg_S_NPG.2002.184.995,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_995,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_995/full/250,/0/default.jpg"
01347,edanmdm:npg_S_NPG.2002.184.994,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_994,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_994/full/250,/0/default.jpg"
01348,edanmdm:npg_S_NPG.2002.184.993,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_993,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_993/full/250,/0/default.jpg"
01349,edanmdm:npg_S_NPG.2002.184.992,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_992,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_992/full/250,/0/default.jpg"
01350,edanmdm:npg_S_NPG.2002.184.991,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_991,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_991/full/250,/0/default.jpg"
01351,edanmdm:npg_S_NPG.2002.184.990,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_990,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_990/full/250,/0/default.jpg"
01352,edanmdm:npg_S_NPG.2002.184.99,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_99,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_99/full/250,/0/default.jpg"
01353,edanmdm:npg_S_NPG.2002.184.989,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_989,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_989/full/250,/0/default.jpg"
01354,edanmdm:npg_S_NPG.2002.184.988,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_988,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_988/full/250,/0/default.jpg"
01355,edanmdm:npg_S_NPG.2002.184.987,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_987,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_987/full/250,/0/default.jpg"
01356,edanmdm:npg_S_NPG.2002.184.986,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_986,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_986/full/250,/0/default.jpg"
01357,edanmdm:npg_S_NPG.2002.184.985,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_985,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_985/full/250,/0/default.jpg"
01358,edanmdm:npg_S_NPG.2002.184.984,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_984,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_984/full/250,/0/default.jpg"
01359,edanmdm:npg_S_NPG.2002.184.983,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_983,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_983/full/250,/0/default.jpg"
01360,edanmdm:npg_S_NPG.2002.184.982,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_982,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_982/full/250,/0/default.jpg"
01361,edanmdm:npg_S_NPG.2002.184.981,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_981,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_981/full/250,/0/default.jpg"
01362,edanmdm:npg_S_NPG.2002.184.980,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_980,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_980/full/250,/0/default.jpg"
